t,TEOF,I1,I2,I5,P1,P2,EtOH
0,0.1497,0,0,0,0,0,0
0.217,0.0568847235550416,0.0769010355292321,0.0109671080752555,0.00015870158874269,0.0044594772066917,0.000328954045036388,0.108825823986289
0.33,0.0282263471695601,0.0874868802022353,0.0228561420915965,0.000434703094956593,0.00952463533912282,0.00117129210252868,0.154480677663709
0.66,0.0131955218020885,0.0810892251788335,0.0353389617861469,0.00142189482171535,0.0153089035575421,0.0033454928536737,0.191937850385131
1,0.00622727617892147,0.0694743745907504,0.0446784131085029,0.00269412613879236,0.0203205618292741,0.00630524815375871,0.218940208731287
1.33,0.00323139306860478,0.0577336897530901,0.0505995484422237,0.00397248268651649,0.0243469068617244,0.00981597918784056,0.244668273803917
1.66,0.00113758102686789,0.0445787313931561,0.055265416411871,0.00572051232227829,0.028192536227382,0.0148052226184447,0.269788437038937
2,0.00063805893993739,0.0353935272007944,0.0562268525392174,0.00727007789959382,0.030312446653505,0.019859036766952,0.282584656313909
2.33,0.000366037193139814,0.0270354582338223,0.0558740666261708,0.00913404117249157,0.0318646507787847,0.0254257459955908,0.299032981124652
2.66,0.000184416661457675,0.0207891137309302,0.054030695463719,0.0107076423059993,0.0330378122007107,0.0309503196371832,0.3154922227447
3,0.000035615251667552,0.0157708129651992,0.0520284911252132,0.0116636732192159,0.0332445529409,0.0369568544978041,0.3346050260826
3.328,0,0.0126459971774114,0.0489771197734831,0.0132692945287168,0.0326509888962303,0.0421565996241583,0.335631968781154
3.661,0,0.00931259213858056,0.0455452260060389,0.0142258885130359,0.0323856231343841,0.0482306702079605,0.35330283453886
4,0,0.00631279590763752,0.0413115019272634,0.0151622834362803,0.0312938313889395,0.0556195873398793,0.365641090530238
4.33,0,0.005396816799725,0.0380422844170141,0.0159782159502521,0.0303504706686004,0.0599322121644083,0.36826744321521
4.66,0,0.00396864092740054,0.0348635425771304,0.016752225847509,0.0290728951522359,0.0650426954957241,0.376843471832306
5,0,0.00339903633069215,0.0317228639075309,0.0171024028865174,0.027793197313087,0.0696824995621726,0.379550425263239
6,0,0.00150445034358702,0.0247084685780478,0.0175369632329314,0.0243543995536626,0.0815957182917713,0.402014500774631
7,0,0.000833844356361699,0.0183063091115381,0.018022864926534,0.0199260321554595,0.0926109494501067,0.408076440847576
8,0,0.000353913345359154,0.0135033206956604,0.017596210173268,0.0168520469291997,0.101394508856513,0.42408844785271
9,0,0.000370414508311847,0.00992528772083189,0.0167526077523657,0.0138553474792086,0.108796342539282,0.42922134552348
10,0,0.000113722000294415,0.00729943847796966,0.0161738628090121,0.0114842417401335,0.11462873497259,0.434475324997698
12,0,0,0.00437964264807962,0.0147245335068088,0.00820274814267194,0.12239307570244,0.44546093229378
14,0,0,0.00252961579210101,0.0132586512432293,0.00611418572280928,0.12779754724186,0.445229487289031
16,0,0,0.00140239873981997,0.0123377766949307,0.00508238785361909,0.13087743671163,0.449582015514893
18,0,0,0.00126927238435085,0.0119772375224606,0.000590520646501737,0.135862969446687,0.464651151058064
20,0,0,0.000279030388708846,0.0105999358870109,0.00330478127840149,0.135516252445879,0.461476810187494
25,0,0,0.000650161788749132,0.0104572131788928,0.00340214101015942,0.135190484022199,0.453328364801138
30,0,0,0.000494479110649397,0.0100049517206711,0.00352334269274359,0.135677226475936,0.452233575869425
45,0,0,0.000177663632421585,0.009518477082169,0.00323370569887591,0.136770153586534,0.457210548772449
